customer_id,frequency,recency,T,monetary_value,proba,date_created_min,date_created_max,date_created_nunique,total_revenue_sum,months,monthly_revenues,p_loss,average_purchase
6,12.0,655.0,695.0,377.0119268825397,0.9876888936192016,2017-10-27,2019-08-13,13,5882.233000590476,21.51994907492967,273.3386115417515,3.3651007246702194,452.47946158388277
7,1.0,161.0,433.0,481.2044666666667,0.8909621549004231,2018-07-16,2018-12-24,2,1190.7770833333334,5.289636337501797,225.11511328125,24.546066851534647,595.3885416666667
56,30.0,676.0,696.0,346.2953869671958,0.9937609418871013,2017-10-26,2019-09-02,31,10388.861609015874,22.209901640690774,467.75810974247787,2.9183700294629715,335.1245680327701
210,3.0,330.0,703.0,245.76031555555554,0.8125992737086297,2017-10-19,2018-09-14,4,1380.1539466666668,10.84211174767449,127.29567622863637,23.855302178997572,345.0384866666667
221,0.0,0.0,495.0,0.0,1.0,2018-05-15,2018-05-15,1,79.6536,0.0,,,79.6536
529,12.0,671.0,683.0,204.41003644444447,0.9925994379405221,2017-11-08,2019-09-10,13,2941.385237333334,22.045627220271463,133.4226151945753,0.9874023438852964,226.26040287179492
753,283.0,721.0,724.0,3523.7600790096117,0.9990666500918642,2017-09-28,2019-09-19,284,997376.08267972,23.688371424464567,42104.03766506561,39.297799686833606,3511.887615069437
1364,134.0,701.0,717.0,188.93182079579276,0.9877982491002878,2017-10-05,2019-09-06,135,25348.825890636228,23.031273742787327,1100.626312453721,13.429568098229117,187.76908067137947
1875,0.0,0.0,41.0,0.0,1.0,2019-08-12,2019-08-12,1,3262.6360813333335,0.0,,,3262.6360813333335
2116,2.0,392.0,655.0,725.3303000000001,0.9292869500767621,2017-12-06,2019-01-02,3,2368.794905714286,12.87911456087394,183.92529195373086,13.005918352070276,789.598301904762
2208,8.0,581.0,678.0,126.01815,0.9701113161151745,2017-11-13,2019-06-17,9,1259.3052,19.088687652723877,65.97128220180723,1.9717947992064284,139.9228
2603,51.0,717.0,727.0,1018.0765268767507,0.9968307328120415,2017-09-25,2019-09-12,52,52261.49768671429,23.55695188812912,2218.516976852597,7.031073060667852,1005.0288016675825
2624,4.0,577.0,660.0,398.12931000000003,0.9748680651576488,2017-12-01,2019-07-01,5,4939.762992000001,18.957268116388427,260.5735679672964,6.548717931793068,987.9525984000002
2764,16.0,448.0,674.0,229.397990878268,0.216889386087096,2017-11-17,2019-02-08,17,3764.5482540522876,14.718988069570218,255.76134964298598,200.28942753411164,221.44401494425222
2979,268.0,723.0,727.0,737.9318106494005,0.9986684465935866,2017-09-25,2019-09-18,269,198356.18125403934,23.75408119263229,8350.404279815406,11.119009263717604,737.3835734350905
3228,282.0,722.0,724.0,384.8753986697347,0.9993670860290389,2017-09-28,2019-09-20,283,109205.99143743662,23.72122630854843,4603.724529961674,2.9137615734690763,385.8868955386453
3577,0.0,0.0,347.0,0.0,1.0,2018-10-10,2018-10-10,1,316.25956800000006,0.0,,,316.25956800000006
